id;title;shop_category;category;type;description;address_value;address_postal;address_city;tel;web;email;latitude;longitude
1;Bleu Citron;Entreprises High-Tech;Presse & Edition;Conseil en communication;Communication graphique, édition, conseil en création;16, Boulevard Garibaldi;92130;Issy-Les-Moulineaux;01 46 48 94 38;http://www.bleu-citron.fr;;48,8223858;2,2618569
2;Business Strategie Communication;Entreprises High-Tech;Presse & Edition;Conseil en communication;Conseil en publicité - Communication événementielle -  Films - Cd rom - Intranet - Séminaire;54, Boulevard Rodin;92137;Issy-Les-Moulineaux Cedex;01 46 42 10 76;http://www.bsc.fr;;48,8191503;2,2589768
3;Davytopiol;Entreprises High-Tech;Presse & Edition;Conseil en communication;Agence conseil en présentation;156, Avenue De Verdun;92130;Issy-Les-Moulineaux;01 45 29 07 65;http://www.davytopiol.com;;48,8182838;2,2518292
4;Flexibreaks France;Entreprises High-Tech;Presse & Edition;Conseil en communication;Agence de communication spécialisée dans le loisir;9, Rue De La Gare-Bp 147;92130;Issy-Les-Moulineaux;01 45 29 30 61;http://www.flexistart.fr;;48,8225067;2,2687541
5;H Graphic;Entreprises High-Tech;Presse & Edition;Conseil en communication;Graphisme, PAO, édition publicitaire, packaging;30, Rue Hoche;92130;Issy-Les-Moulineaux;01 46 42 50 64;;;48,824262;2,2703542
6;Id En Courbe;Entreprises High-Tech;Presse & Edition;Conseil en communication;Agence de communication;25, Villa Marguerite;92130;Issy-Les-Moulineaux;01 41 31 60 65;http://www.idencourbe.com;;48,830041;2,2837395
7;Ideart;Entreprises High-Tech;Presse & Edition;Conseil en communication;Agence conseil en communication;11, Rue Vaudétard;92130;Issy-Les-Moulineaux;01 47 65 07 20;http://agenceideart.com/;;48,8267492;2,276933
8;Incentive Office;Entreprises High-Tech;Presse & Edition;Conseil en communication;Agence de communication;26, Rue Du Docteur Vuillième;92130;Issy-Les-Moulineaux;01 41 33 97 20;http://www.incentiveoffice.com;;48,8225067;2,2687541
9;Incisif;Entreprises High-Tech;Presse & Edition;Conseil en communication;Créations graphiques , éditions et sites internet;7, Rue De Vanves;92130;Issy-Les-Moulineaux;01 46 38 92 46;http://www.incisif.fr;;48,8262019;2,2787395
10;Incognito;Entreprises High-Tech;Presse & Edition;Conseil en communication;Relations presse et relations publiques;7, Rue Adolphe Chérioux;92130;Issy-Les-Moulineaux;01 74 71 11 11;http://www.incognitorp.com;;48,8244432;2,2694188
11;Ouaf !  Ouaf !  Le Marchand De Couleurs;Entreprises High-Tech;Presse & Edition;Conseil en communication;Audiovisuel - PAO - Multimédia;16, Passage De L'Industrie;92130;Issy-Les-Moulineaux;01 40 93 03 02;http://www.lmdc.net;;48,8266372;2,2804481
12;Pinto Anne;Entreprises High-Tech;Presse & Edition;Conseil en communication;Conseil en communication éditoriale;215, Rue Jean-Jacques Rousseau;92136;Issy-Les-Moulineaux Cedex;01 46 45 42 70;;;48,82254;2,257175
13;Sd Com';Entreprises High-Tech;Presse & Edition;Conseil en communication;Relation presse;16, Rue Kléber;92130;Issy-Les-Moulineaux;01 45 29 94 02;;;48,8262147;2,2729417
14;Sem Issy Media;Entreprises High-Tech;Presse & Edition;Conseil en communication;Conseil en communication publique - vidéos, sites, édition, affiches, plaquettes;62, Rue Du Général Leclerc;92130;Issy-Les-Moulineaux;01 41 23 82 60;http://www.issy.com;;48,8242428;2,2736314
15;3E Sa;Entreprises High-Tech;Presse & Edition;Evénementiel;Organisations de salons : le Medec, les Thermalies et Eurocancer;21, Rue Camille Desmoulins;92789;Issy-Les-Moulineaux Cedex 9;01 73 28 15 40;http://www.lemedec.com;;48,8297932;2,2647995
16;A.S.O.;Entreprises High-Tech;Presse & Edition;Evénementiel;Organisation, conseils d'évènements sportifs;253, Quai De La Bataille De Stalingrad;92130;Issy-Les-Moulineaux;01 41 33 14 00;http://www.aso.fr;;48,8225067;2,2687541
17;Alcor;Entreprises High-Tech;Presse & Edition;Evénementiel;Concepteur et réalisateur de stands d'exposition;7, Rue De Vanves;92130;Issy-Les-Moulineaux;01 46 44 85 06;http://www.alcordesign.com;;48,8262019;2,2787395
18;Art Line;Entreprises High-Tech;Presse & Edition;Evénementiel;Décoration florale et murale;18, Rue Marcel Miquel;92130;Issy-Les-Moulineaux;01 40 95 79 13;;;48,8204321;2,2484355
19;Atelier Des Ombres Et Des Lumieres;Entreprises High-Tech;Presse & Edition;Evénementiel;Réalisation, fabrication, location, vente de spectacles;24, Rue Jean-Baptiste Potin;92130;Issy-Les-Moulineaux;01 41 90 04 56;;;48,8194656;2,280451
20;Ca Se Joue;Entreprises High-Tech;Presse & Edition;Evénementiel;Productions de spectacles et tournées théâtrales;166, Avenue De Verdun;92130;Issy-Les-Moulineaux;01 47 36 66 27;;;48,818067;2,2510616
21;Cpm Show;Entreprises High-Tech;Presse & Edition;Evénementiel;Communication événementielle;21, Boulevard Gambetta;92130;Issy-Les-Moulineaux;;;;48,8275457;2,2762206
22;Delling Expo;Entreprises High-Tech;Presse & Edition;Evénementiel;Organisation de salons professionnels;3, Allée Des Citeaux;92130;Issy-Les-Moulineaux;01 41 33 08 08;http://www.dellingexpo.com;;48,8229617;2,2677056
23;Evenement Plus;Entreprises High-Tech;Presse & Edition;Evénementiel;Prestations, location et vente dans le domaine de la sonorisation, de l'éclairage et de la vidéo, événementiel;2, Place Chabanne;92130;Issy-Les-Moulineaux;01 46 38 74 74;http://www.evenement-plus.fr.st;;48,8215042;2,2448093
